model	topk	category	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
xglm-4.5B	819	expectation	375	276	257	317	356	384	405	429	459	476	478	469	500	497	511	540	506	528	556	539	534	511	476	452	435	379	360	323	322	337	308	272	264	239	215	179	192	188	131	115	95	77	85	81	83	111	137	166	0	0
xglm-4.5B	1638	expectation	685	571	579	681	782	837	869	916	987	972	996	991	1000	987	1053	1098	1050	1069	1097	1074	1038	1043	950	941	874	791	746	694	675	653	629	543	520	495	441	382	445	414	332	310	246	250	257	242	266	316	380	426	0	0
xglm-4.5B	2457	expectation	1152	973	1023	1193	1276	1295	1366	1455	1550	1517	1534	1552	1524	1541	1598	1683	1642	1639	1702	1645	1613	1600	1479	1445	1377	1250	1212	1122	1112	1055	982	913	869	836	766	699	770	692	586	582	502	488	499	496	536	614	714	760	0	0
xglm-4.5B	3276	expectation	1720	1485	1568	1770	1810	1818	1918	2032	2105	2134	2142	2128	2120	2120	2217	2279	2233	2266	2278	2248	2213	2190	2078	1991	1914	1769	1728	1600	1549	1501	1403	1319	1298	1236	1160	1094	1164	1047	970	951	849	855	859	862	920	1000	1101	1194	0	0
xglm-4.5B	8192	expectation	6219	5819	5697	5749	5721	5628	5930	6074	6067	6204	6161	6164	6222	6200	6282	6382	6347	6401	6409	6449	6440	6345	6239	6142	6077	5840	5621	5516	5448	5336	5222	5071	5056	4944	4899	4736	4777	4749	4607	4562	4488	4469	4454	4471	4439	4625	4683	4862	0	0
xglm-4.5B	163	activation	131	75	51	62	65	82	74	73	94	95	92	88	96	93	94	103	103	116	113	106	122	109	97	102	98	74	62	56	46	36	40	33	27	25	16	17	13	11	8	7	12	8	7	11	9	14	23	29	0	0
xglm-4.5B	819	activation	397	276	279	346	381	405	391	430	465	454	480	480	488	469	501	530	503	538	555	550	532	499	475	457	439	384	311	303	261	237	225	176	179	158	133	116	104	89	87	76	72	57	71	85	80	108	134	171	0	0
xglm-4.5B	1638	activation	877	662	674	806	874	880	882	951	1004	984	1012	1022	1008	994	1061	1093	1067	1101	1126	1127	1085	1083	1007	984	941	839	744	694	659	571	529	467	447	412	377	338	316	264	278	254	224	206	233	237	275	322	411	451	0	0
xglm-4.5B	2457	activation	1540	1198	1206	1368	1398	1364	1409	1481	1562	1566	1589	1593	1568	1572	1657	1714	1664	1722	1746	1714	1682	1678	1575	1531	1472	1319	1255	1129	1080	965	941	853	822	753	707	657	610	529	528	500	470	450	488	497	555	611	734	855	0	0
xglm-4.5B	3276	activation	2299	1831	1793	1979	1967	1927	1957	2106	2114	2172	2202	2179	2192	2141	2279	2361	2296	2328	2332	2352	2333	2282	2198	2083	2013	1887	1773	1665	1520	1409	1378	1264	1221	1193	1129	1061	1030	903	880	857	833	827	820	856	936	1026	1165	1320	0	0
xglm-4.5B	8192	activation	6978	6246	5891	5945	5872	5787	6053	6167	6202	6322	6261	6305	6379	6358	6481	6553	6517	6573	6577	6654	6614	6494	6431	6353	6221	5954	5761	5647	5503	5388	5213	5032	5034	4939	4878	4808	4720	4662	4595	4554	4517	4469	4577	4590	4655	4813	5019	5347	0	0
xglm-2.9B	81	activation	59	59	49	26	35	38	32	37	43	44	43	43	46	45	48	40	36	38	38	34	35	28	35	31	33	37	25	34	27	29	27	19	22	21	9	15	20	21	17	12	14	21	14	22	20	29	20	22	0	0
xglm-2.9B	409	activation	316	263	255	218	200	203	193	215	207	220	243	241	223	223	233	225	212	195	195	197	181	172	169	165	175	148	155	132	148	141	139	121	106	124	107	113	124	106	114	85	100	107	93	111	120	142	125	90	0	0
xglm-2.9B	819	activation	663	580	586	538	465	454	447	480	473	502	521	507	497	487	468	451	459	444	406	405	381	377	366	347	353	330	334	303	310	279	286	298	258	274	270	269	276	253	252	246	226	265	254	265	289	313	288	247	0	0
xglm-2.9B	1228	activation	922	936	915	888	764	755	751	791	778	813	841	813	785	775	735	708	708	678	633	612	611	586	572	552	537	529	527	477	497	460	439	472	441	446	417	441	433	437	429	439	409	452	438	439	479	506	458	409	0	0
xglm-2.9B	1638	activation	1135	1226	1221	1240	1099	1072	1102	1090	1098	1136	1147	1109	1089	1059	987	957	949	923	867	814	833	827	781	768	751	756	739	658	707	677	635	670	638	651	625	641	649	644	612	625	609	672	646	653	692	722	673	613	0	0
xglm-2.9B	4096	activation	2644	3038	2964	3056	2946	2863	2886	2836	2943	2809	2853	2825	2865	2775	2665	2689	2694	2636	2613	2554	2569	2565	2570	2533	2549	2536	2522	2469	2474	2467	2452	2440	2461	2460	2445	2439	2451	2437	2441	2454	2444	2458	2459	2468	2460	2476	2450	2460	0	0
xglm-2.9B	81	expectation	66	50	35	18	32	40	34	47	44	38	41	47	43	44	53	40	29	31	34	28	30	29	27	27	30	31	24	24	21	21	13	22	21	25	8	14	16	23	22	11	21	18	11	33	25	56	53	39	0	0
xglm-2.9B	409	expectation	295	241	219	169	176	195	184	203	201	206	237	233	224	196	217	216	188	178	177	153	146	144	142	132	141	121	125	116	121	105	65	94	89	108	44	63	71	93	91	48	109	72	72	124	113	256	157	113	0	0
xglm-2.9B	819	expectation	626	530	521	456	427	426	432	459	453	470	501	485	470	455	437	436	422	417	358	348	327	330	298	278	301	255	287	251	261	220	180	234	211	252	146	170	180	223	202	167	229	173	200	273	253	511	285	237	0	0
xglm-2.9B	1228	expectation	882	858	833	787	711	720	700	724	720	763	800	767	748	717	694	672	660	641	568	530	514	515	487	471	468	418	457	403	434	389	313	395	380	397	270	325	332	393	362	322	394	337	364	453	432	774	452	386	0	0
xglm-2.9B	1638	expectation	986	1181	1097	1101	1002	993	982	932	974	982	1043	1019	1008	970	901	891	855	853	769	716	711	709	667	660	630	609	619	566	611	580	471	569	563	576	433	518	507	574	553	499	564	505	541	662	624	1095	650	596	0	0
xglm-2.9B	4096	expectation	2347	2711	2768	2870	2633	2514	2441	2366	2315	2261	2354	2345	2434	2392	2335	2321	2327	2370	2296	2270	2274	2287	2194	2240	2214	2157	2245	2187	2215	2159	2095	2237	2223	2209	2110	2146	2270	2368	2443	2150	2190	2125	2167	2503	2374	2950	2464	2324	0	0
xglm-1.7B	81	expectation	62	56	54	42	42	42	31	36	35	38	31	31	28	30	17	21	15	20	23	21	23	31	31	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	409	expectation	259	211	217	221	210	224	206	200	194	188	171	171	147	133	114	101	89	86	105	100	95	105	123	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	819	expectation	592	447	485	508	457	506	463	415	397	382	392	367	329	275	250	228	185	172	197	182	210	222	278	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	1228	expectation	874	734	704	734	696	730	692	639	606	576	589	558	500	437	403	371	318	285	316	309	355	406	511	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	1638	expectation	1078	963	906	884	848	910	858	784	768	738	762	762	692	615	574	525	479	438	482	483	540	639	746	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	4096	expectation	2448	3215	3016	2700	2419	2231	2197	2106	2174	2142	2190	2241	2169	2155	2173	2197	2188	2131	2309	2297	2413	2627	2760	2548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	81	activation	64	68	47	36	47	49	45	46	41	47	39	44	40	36	33	26	16	15	15	10	11	17	20	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	409	activation	277	271	248	245	251	250	235	246	237	244	231	217	208	182	163	132	133	87	85	69	71	99	108	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	819	activation	541	605	596	579	538	563	536	503	494	479	478	436	418	387	343	303	267	219	203	200	227	238	244	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	1228	activation	881	999	959	879	876	853	801	754	725	728	689	653	622	593	523	476	419	392	360	339	403	395	419	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	1638	activation	1222	1398	1244	1149	1163	1142	1067	993	973	961	911	891	843	789	719	665	596	562	553	535	619	594	625	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xglm-1.7B	4096	activation	3488	3415	3052	2780	2719	2705	2661	2614	2592	2577	2588	2557	2561	2515	2460	2403	2349	2303	2385	2386	2467	2357	2451	2487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
